id;user_id;name;type_query;company_address;job_role;age;salary;year_experiences;education_level;job_attribute;contact;group_by;slide_window
1;76460;Agent fuchsia invoice;NORMAL;ivory PCI;Investor Eritrea;16974;21539;9822;UNIVERSITY;Argentine payment virtual;../fake-data/blob/hipster.txt;New Soap solutions;7671
2;58553;generate array Ariary;QUERY;Garden;Analyst Sleek;51891;82236;35765;POSTGRADUATE;Branding;../fake-data/blob/hipster.txt;Borders quantify panel;38911
3;79589;Extended monitor;HR;Toys;Automotive blue Beauty;4347;51280;46193;UNIVERSITY;Avon bricks-and-clicks;../fake-data/blob/hipster.txt;Upgradable;41051
4;99471;Group;QUERY;transmitting invoice Dominica;Industrial AI;75291;26237;6283;COLLEGE;Concrete navigate;../fake-data/blob/hipster.txt;Sausages;76157
5;25687;plug-and-play;NORMAL;Solutions Avon;Computer e-commerce Automotive;79873;76675;94483;UNIVERSITY;programming hacking Principal;../fake-data/blob/hipster.txt;human-resource pixel;24317
6;8432;Cambridgeshire;QUERY;mobile;program Credit;93232;23333;39139;UNIVERSITY;deliver;../fake-data/blob/hipster.txt;Dynamic Creative strategize;42113
7;49585;Estonia Chicken Account;NORMAL;Rubber Sleek;Books Minnesota compressing;69119;37307;28453;VOCATIONALIZATION;Lodge;../fake-data/blob/hipster.txt;Pants Music THX;26918
8;19353;silver Dynamic;QUERY;HDD Investment;extranet;59252;74247;20491;VOCATIONALIZATION;Causeway Iran Macedonia;../fake-data/blob/hipster.txt;North Kong;28805
9;17175;hack B2C indexing;NORMAL;bifurcated;South solid;39852;55786;74;UNIVERSITY;Seychelles navigate bus;../fake-data/blob/hipster.txt;regional;30553
10;79726;moratorium;NORMAL;microchip redefine Tuna;Administrator Operations;44540;93893;93943;COLLEGE;Idaho driver;../fake-data/blob/hipster.txt;Cotton;46942
